,Conversation,Sentiment,cleaned,Length
510,চুপ কর! অসভ্য।,negative,চুপ কর অসভ্য,3
511,মেয়েটা কষ্টে আছে।,negative,মেয়েটা কষ্টে,2
512,আজ সে আমাদের মাঝে নেই বিষয়টা খুবই কষ্টের।,negative,মাঝে বিষয়টা খুবই কষ্টের,4
513,বাবা-মাকে প্রভু এই বিশাল কষ্ট থেকে রক্ষা করুন,negative,বাবা মাকে প্রভু বিশাল কষ্ট রক্ষা করুন,7
514,দেখতে কত সুন্দর!,positive,সুন্দর,1
515,সর্বদা আমাদের হৃদয়ে বেঁচে থাকবে,positive,সর্বদা হৃদয়ে বেঁচে,3
516,তোমাকে মিস করব,negative,মিস করব,2
517,কত সুন্দর কথা বলে!,positive,সুন্দর,1
518,শালা! থাম।,negative,শালা থাম,2
519,কথা বলার সুযোগ পেয়ে অনেক খুশি,positive,বলার সুযোগ পেয়ে খুশি,4
520,রাস্তায় একটা বেওয়ারিশ লাশ খুঁজে পেয়েছিলাম,negative,রাস্তায় বেওয়ারিশ লাশ খুঁজে পেয়েছিলাম,5
521,আমাদের নিয়ে সন্দেহ করার তুই কে?,negative,সন্দেহ তুই,2
522,ঈশ্বরের কৃপায় ভালো অভিনয় করার এটাই ভালো সুযোগ,positive,ঈশ্বরের কৃপায় ভালো অভিনয় ভালো সুযোগ,6
523,অনেক ধূমপানের কারণে হয়তো মারা গেছে।,negative,ধূমপানের কারণে হয়তো মারা,4
524,"লাশ থেকে রোগ ছড়াতে পারে। এই, এবার সত্যিকারেই মারা যাবো।",negative,লাশ রোগ ছড়াতে সত্যিকারেই মারা যাবো,6
525,বেহুদা পোলাপান! থাম!,negative,বেহুদা পোলাপান থাম,3
526,বিয়ে করে তাকে সুন্দর একটা জীবন দিতে চাওয়াটা প্রশংসনীয়,positive,বিয়ে সুন্দর জীবন চাওয়াটা প্রশংসনীয়,5
527,কী চমৎকার জুটি!,positive,চমৎকার জুটি,2
528,আত্মা পৌঁছানোর জন্য দেহের মৃত্যু ঘটে,negative,আত্মা পৌঁছানোর দেহের মৃত্যু ঘটে,5
529,চুপ! চুপ! চিৎকার করিও না।,negative,চুপ চুপ চিৎকার করিও,4
530,মনে হচ্ছে মেয়েটা ভয়াবহ যন্ত্রণায় আছে।,negative,মেয়েটা ভয়াবহ যন্ত্রণায়,3
531,অনেকজন কাঁদছিল,negative,অনেকজন কাঁদছিল,2
532,"তাদের কান্না দেখিনি, শুধু তোমার কান্না দেখতে পারি।",negative,কান্না দেখিনি কান্না,3
533,স্বামীহারা স্ত্রী সৎকারে কাঁদছে,negative,স্বামীহারা স্ত্রী সৎকারে কাঁদছে,4
534,তোমাকে দেখা মাত্রই প্রেমে পড়ে গেছি।,positive,মাত্রই প্রেমে পড়ে গেছি,4
535,ওহ মিষ্টি মেয়ে! ,positive,ওহ মিষ্টি মেয়ে,3
536,তোর ছেলে মারা গেছে।,negative,তোর ছেলে মারা,3
537,মায়ের তোমার রক্ত লাগবে।,negative,মায়ের রক্ত লাগবে,3
538,কান্ডজ্ঞান বলতে কিছুই নেই?,negative,কান্ডজ্ঞান,1
539,তোমাকে মেরে ফেলবো।,negative,মেরে ফেলবো,2
540,তাকিয়ে আছিস কেন?,negative,তাকিয়ে আছিস,2
541,ছেলেকে হারিয়েছি তাই শোক করছিলাম,negative,ছেলেকে হারিয়েছি শোক করছিলাম,4
542,ফোনের ছবিটা ছিল কল্পনা মাত্র।,positive,ফোনের ছবিটা কল্পনা,3
543,আমাকে মারছ কেন?,negative,মারছ,1
544,সে মারা যাবে!,negative,মারা,1
545,খারাপ লাগছে রে।,negative,খারাপ লাগছে রে,3
546,ভেতরে কেমন যেন খালি খালি লাগছে,negative,ভেতরে কেমন খালি খালি লাগছে,5
547,আমার জীবনে শান্তি নাই।,negative,জীবনে শান্তি,2
548,রাতে ঘুমাতে পারছি না।,negative,রাতে ঘুমাতে পারছি,3
549,"স্বামীর মৃত্যুর অনেকদিন হলো, কিন্তু এখনও শোক পালন করছে",negative,স্বামীর মৃত্যুর অনেকদিন শোক পালন,5
550,তুমি দুঃখি হয়ে পড়েছ,negative,দুঃখি পড়েছ,2
551,"যবে থেকে তুই মরেছিস, এক ফোঁটা পানিও খায়নি।",negative,যবে তুই মরেছিস এক ফোঁটা পানিও খায়নি,7
552,কাঁদছ কেন?,negative,কাঁদছ,1
553,সে মারা গেছে ,negative,মারা,1
554,বেরিয়ে যা!,negative,বেরিয়ে,1
555,কুত্তার বাচ্চা!,negative,কুত্তার বাচ্চা,2
556,আমার বাড়িতে ঢোকার সাহস কীভাবে হয়?,negative,বাড়িতে ঢোকার সাহস কীভাবে,4
557,আমার ছেলেকে কেন মারছেন?,negative,ছেলেকে মারছেন,2
558,দয়া করুন।,negative,দয়া করুন,2
559,আদব-কায়দা শিখাননি বিধায় এমন পথে চলে গেছে।,positive,আদব কায়দা শিখাননি বিধায় পথে,5
560,আবাল কোথাকার!,negative,আবাল কোথাকার,2
561,এই! শালা বাইনচোদ!,negative,শালা বাইনচোদ,2
562,"বসতে পারবোনা, চাইলে আপনি দাঁড়াতে পারেন।",positive,বসতে পারবোনা চাইলে দাঁড়াতে,4
563,তার কষ্ট কি আমার কষ্ট না?,negative,কষ্ট কষ্ট,2
564,দয়া কর! সে প্রচন্ড শোকে কাতর।,negative,দয়া কর প্রচন্ড শোকে কাতর,5
565," চুপ কর, বড়দের সন্মান দিয়ে কথা বল।",negative,চুপ কর বড়দের সন্মান দিয়ে বল,6
566,নৈতিকতা সম্পর্কে কথা বলার যোগ্য তুমি না!,positive,নৈতিকতা সম্পর্কে বলার যোগ্য,4
567,পুলিশ আমাকে অনেক মেরেছে।,negative,পুলিশ মেরেছে,2
568,তোমাকে ছাড়া থাকতে পারবো না।,negative,থাকতে পারবো,2
569,আর কতদিন তার শোকে কাদবে? কাদলে ফিরে আসবে?,negative,কতদিন শোকে কাদবে কাদলে আসবে,5
570,আমাদের জীবন মিথ্যা ছাড়া কিছুই না।,positive,জীবন মিথ্যা,2
571,তোমার স্বামী যে পথে চলে গেছে সেটা মৃত্যু যেটা চিরন্তন সত্য,negative,স্বামী পথে মৃত্যু যেটা চিরন্তন সত্য,6
572,সত্যকে গ্রহণ করতে হেরে গেলে তখন মিথ্যার আশ্রয় নিই।,positive,সত্যকে গ্রহণ হেরে মিথ্যার আশ্রয় নিই,6
573,"কেউ মারা গেলে, তার জন্য দু'একদিন শোক করে",negative,মারা একদিন শোক,3
574,তার বিরহে কাতর হয়ে আছো।,negative,বিরহে কাতর আছো,3
575,ছি! চুপ থাকো!,negative,ছি চুপ থাকো,3
576,যখন একজন মা তার সন্তানকে মৃত দেখে,negative,একজন সন্তানকে মৃত,3
577,সবাই কঠিন পরিস্থিতির শিকার হয়,negative,সবাই কঠিন পরিস্থিতির শিকার,4
578,শিশুর জন্মে আনন্দের হাসি থাকে,positive,শিশুর জন্মে আনন্দের হাসি,4
579,চোখের জ্বলের পিছনে থাকা কষ্ট তুমি বুঝবে না।,negative,চোখের জ্বলের পিছনে কষ্ট বুঝবে,5
580,"তোমার সব কাজ মৃতদেহ নিয়ে, তাই কখনো মৃত্যুকে সম্মান করোনা",negative,মৃতদেহ কখনো মৃত্যুকে সম্মান করোনা,5
581,মরলে লাশ হয়ে আসবো।,negative,মরলে লাশ আসবো,3
582,এখন খুশি তো?,positive,খুশি,1
583,"যখন মারা যাবে,তখন আমিই তোমার লাশ নিয়ে যাবো",negative,মারা আমিই তোমার লাশ যাবো,5
584,তুমি দিবাস্বপ্ন দেখতে থাকো।,positive,দিবাস্বপ্ন থাকো,2
585,তাকে সহ্য করতে না পেরে মারা গিয়েছ,negative,সহ্য পেরে মারা গিয়েছ,4
586,আমার অনেক ধৈর্য আছে।,positive,ধৈর্য,1
587,আমার আর শ্মশানের মৃতদেহের মাঝে কোনো পার্থক্য নেই,negative,শ্মশানের মৃতদেহের মাঝে পার্থক্য,4
588,তোমাকে জড়িয়ে ধরে কান্না করে,negative,জড়িয়ে কান্না,2
589,আমার কাছে তোমার আশীর্বাদ আছে।,positive,তোমার আশীর্বাদ,2
590,কাল তোমার জন্মদিন,positive,কাল জন্মদিন,2
591,বন্ধুদের সাথে এসে জন্মদিন পালন করবো,positive,বন্ধুদের জন্মদিন পালন করবো,4
592,অনেক মজা করবো,positive,মজা করবো,2
593,তোর বাপও তোর জন্য গর্বিত,positive,তোর বাপও তোর গর্বিত,4
594,সুখি জন্মদিন কামনা করছি,positive,সুখি জন্মদিন কামনা করছি,4
595,তুই! তুই তাকে মেরেছিস?,negative,তুই তুই মেরেছিস,3
596,রেগে গিয়ে চড় মারবে?,negative,রেগে চড় মারবে,3
597,বাজে কথা বলবি না।,negative,বাজে বলবি,2
598,তোকে আবার দেখলে সত্যিই মেরে ফেলবো।,negative,তোকে দেখলে সত্যিই মেরে ফেলবো,5
599,মহিলা আর পুরুষ একসাথে থাকলেই তাদের মধ্যে সম্পর্ক আছে,positive,মহিলা পুরুষ একসাথে থাকলেই সম্পর্ক,5
600,তাকে নিয়ে গৌরব করি।,positive,গৌরব,1
601,কোনও মেয়ের মন জয় করার জন্য তাকে প্রথমে বুঝতে চেষ্টা করতে হয়,positive,মেয়ের মন জয় প্রথমে বুঝতে,5
602,প্রতিদিন ঘুম থেকে উঠে বাজারে যাই,positive,প্রতিদিন ঘুম উঠে বাজারে যাই,5
603,প্লিজ কষ্ট পেয়ো না,negative,প্লিজ কষ্ট পেয়ো,3
604,এই যন্ত্রণা শুধু তারাই বুঝবে যারা মুখোমুখি হয়েছে,negative,যন্ত্রণা তারাই বুঝবে মুখোমুখি হয়েছে,5
605,মা তার সন্তানকে আঘাত করলে সন্তানও কষ্ট পায়,negative,সন্তানকে আঘাত সন্তানও কষ্ট পায়,5
606,তার সাথে থাকলে অবশ্যই সুখি থাকতাম,positive,থাকলে অবশ্যই সুখি থাকতাম,4
607,আমার জন্য বড় দুঃখ বয়ে আনবে,negative,বড় দুঃখ বয়ে আনবে,4
608,সকালে গিয়ে তার সাথে কথা বলবো।,positive,সকালে বলবো,2
609,আসল কথায় আসা যাক,positive,আসল কথায় আসা যাক,4
610,বিশ্বাস বা শপথ প্রার্থনার মাধ্যমে আসে না,positive,বিশ্বাস শপথ প্রার্থনার আসে,4
611,সে আনন্দে ভেসে যেতো।,positive,আনন্দে ভেসে যেতো,3
612,দাঁত দেখানো বন্ধ কর,negative,দাঁত দেখানো বন্ধ কর,4
613,"ওয়াও! মধুপুরের মিষ্টি, বিশ্বের সেরা মিষ্টি!",positive,ওয়াও মধুপুরের মিষ্টি বিশ্বের সেরা মিষ্টি,6
614,"ছেলে খুব সুন্দর, নম্র ভদ্র",positive,ছেলে সুন্দর নম্র ভদ্র,4
615,পুনামের মা বাবা নেই,negative,পুনামের বাবা,2
616,প্রতিটি মানুষ জীবনে কিছু অর্জন করতে হলে প্রেরণার প্রয়োজন।,positive,প্রতিটি মানুষ জীবনে অর্জন প্রেরণার প্রয়োজন,6
617,খুব ভালো লাগছে,positive,ভালো লাগছে,2
618,গিফট পছন্দ হয়েছে,positive,গিফট পছন্দ,2
619,আমরা একটি সাধারণ জীবনযাপন করি,positive,জীবনযাপন,1
620,মনটা ভরে গেলো কতটা ভালো হয়েছে,positive,মনটা ভরে গেলো কতটা ভালো,5
621,"ওয়াও! সাবাস, আপনি জিতেছেন",positive,ওয়াও সাবাস জিতেছেন,3
622,"আমি আপনার সম্পর্কে জানি, এইজন্য দৃঢ় বিশ্বাসের সাথে বলতে পারি",positive,সম্পর্কে জানি এইজন্য দৃঢ় বিশ্বাসের,5
623,তোকে একটা খুশির খবর দিতে চাই,positive,তোকে খুশির খবর চাই,4
624,অভিনন্দন,positive,অভিনন্দন,1
625,"তুমি যখন চলে যাবে, তোমাকে খুব মিস করবে",negative,মিস,1
626,আপনাকে অনেক অনেক শুভেচ্ছা!,positive,শুভেচ্ছা,1
627,আজ বাড়িতে পার্টি রেখেছে,positive,বাড়িতে পার্টি রেখেছে,3
628,রোগীর শরীর বাজে ভাবে পুড়ে গেছে,negative,রোগীর শরীর বাজে পুড়ে,4
629,হাঁটুর ব্যাথা কী আবার বেড়ে গেছে?,negative,হাঁটুর ব্যাথা বেড়ে,3
630,বাবা মারা গেছে তার মারা যাওয়াতে আমি দুঃখিত,negative,বাবা মারা মারা যাওয়াতে দুঃখিত,5
631,"জানো, আমি ভালোবাসা দিবসে গিফট পেয়েছিলাম।",positive,জানো ভালোবাসা দিবসে গিফট পেয়েছিলাম,5
632,ওয়াও! আমার বাচ্চা অসাধারণ,positive,ওয়াও বাচ্চা অসাধারণ,3
633,তোমারা কলেজে মধ্যে শর্ট স্কার্ট পরে ছেলেদের উত্তেজিত করার চেষ্টা করো,positive,তোমারা কলেজে শর্ট স্কার্ট ছেলেদের উত্তেজিত,6
634,তোমাকে অনেক ভালবাসতাম।,positive,ভালবাসতাম,1
635,দেখলেই অসহ্য লাগে,negative,দেখলেই অসহ্য লাগে,3
636,আমাকে মারার সাহস কীভাবে হয়?,negative,মারার সাহস কীভাবে,3
637,কী দেখেছিস তুই?,negative,দেখেছিস তুই,2
638,আমাকে পছন্দ করে,positive,পছন্দ,1
639,তাকে নিয়ে গৌরব করি।,positive,গৌরব,1
640,"তাকে বিয়ে করতে বলেছিল, নিজের মত দেখবেও পরিবারকে বলেছিল",positive,বিয়ে বলেছিল মত দেখবেও পরিবারকে বলেছিল,6
641,ভালো বন্ধু হিসেবেই রয়ে গেলো।,positive,ভালো বন্ধু হিসেবেই রয়ে গেলো,5
642,"আচ্ছা, বেশি চিন্তা করো না।",positive,আচ্ছা চিন্তা,2
643,বিয়ের দাওয়াত দিতে এসেছি।,positive,বিয়ের দাওয়াত এসেছি,3
644,অনেক ভালো সংবাদ। খুব খুশির।,positive,ভালো সংবাদ খুশির,3
645,খুব ভালো। ভগবান তোমার মঙ্গল করুক।,positive,ভালো ভগবান মঙ্গল করুক,4
646,বিয়ে করছি বললাম যাতে আপনাকে খুশি দেখতে পারি,positive,বিয়ে করছি বললাম খুশি,4
647,তোমার বাবা মারা গেছে কতদিন হয়েছে?,negative,বাবা মারা কতদিন হয়েছে,4
648,খুব ভাল! চমৎকার!,positive,ভাল চমৎকার,2
649,আসতে চাইলে এসে আশীর্বাদ দিয়ে যেয়েন।,positive,আসতে চাইলে আশীর্বাদ দিয়ে যেয়েন,5
650,রান্নাঘরে খাবার আছে।,positive,রান্নাঘরে খাবার,2
651,"নিজে যেয়ে খা, মাতাল হাদারাম!",negative,যেয়ে খা মাতাল হাদারাম,4
652,তোমাকে বরবাদ করে দিয়েছি।,negative,বরবাদ দিয়েছি,2
653,"তোমাকে এই বিষয়ে বলেছিল, তাই না?",positive,বিষয়ে বলেছিল,2
654,তোমার স্ত্রী আমাদের জন্য তাদের ভালবাসা বিসর্জন করতে চেয়েছিলো।,positive,স্ত্রী ভালবাসা বিসর্জন চেয়েছিলো,4
655,"কথা তো বলতে পারবে না, তোমার পক্ষে আমিই কথা বলছি।",positive,পারবে আমিই বলছি,3
656,ঘুমিয়ে পড়ো। আমারও ঘুম আসছে।,positive,ঘুমিয়ে পড়ো আমারও ঘুম আসছে,5
657,এত বিরক্ত কেন করো?,negative,বিরক্ত,1
658,ভাইয়ের মৃত্যু তোমাকে অনেকে কষ্ট দিয়েছে,negative,ভাইয়ের মৃত্যু কষ্ট দিয়েছে,4
659,আমিও কষ্ট পেয়েছি,negative,আমিও কষ্ট পেয়েছি,3
660,মা খুশি হবে,positive,খুশি,1
661,৫ বছরের কেউ মেয়ের পিছনে ঘুরলে তার উদ্দেশ্য অন্যরকম,positive,৫ বছরের মেয়ের পিছনে ঘুরলে উদ্দেশ্য অন্যরকম,7
662,আমাদের অতীত আমাদের স্মৃতিতে থাকলে ভাল হতো।,positive,অতীত স্মৃতিতে থাকলে ভাল হতো,5
663,সেই স্মৃতিকে জীবন ভাবলে সামনে এগোতে পারবো না,positive,স্মৃতিকে জীবন ভাবলে এগোতে পারবো,5
664,একটা স্কুল পড়ুয়া ছেলে স্কুলে একটা মেয়ের প্রেমে পড়তে পারে।,positive,স্কুল পড়ুয়া ছেলে স্কুলে মেয়ের প্রেমে পড়তে,7
665,আমাদের জীবন মিথ্যা ছাড়া কিছুই না,positive,জীবন মিথ্যা,2
666,তোমার স্বামী যে পথে চলে গেছে সেটা মৃত্যু যেটা চিরন্তন সত্য,negative,স্বামী পথে মৃত্যু যেটা চিরন্তন সত্য,6
667,চ্যানেল চালু করে শক্তিমান প্রোগ্রাম দেখাতে পারেন।,positive,চ্যানেল শক্তিমান প্রোগ্রাম দেখাতে,4
668,মজা করছিলাম,positive,মজা করছিলাম,2
669,জানি আমার দিকে তাকাচ্ছিলে,positive,জানি তাকাচ্ছিলে,2
670,খুব বিরক্ত করে,negative,বিরক্ত,1
671,তুমি বলেছিলে ভালোভাবে কথা বললে তুমি খুশি হবে,positive,বলেছিলে ভালোভাবে বললে খুশি,4
672,"এখন থেকে, আমাদের মধ্যে আর প্রেম, বিয়ের বিষয় উঠবে না",positive,প্রেম বিয়ের বিষয় উঠবে,4
673,তুমি চাইলে বন্ধু হতে পারো।,positive,চাইলে বন্ধু পারো,3
674,তোমার প্রেমে পড়ার কি অনুমতি চেয়েছিলাম?,positive,প্রেমে পড়ার অনুমতি চেয়েছিলাম,4
675,পরের বিষয় পরে দেখা যাবে।,positive,পরের বিষয়,2
676,আজকের বাচ্চারা আগামীকালের নাগরিক।,positive,আজকের বাচ্চারা আগামীকালের নাগরিক,4
677,মেয়ের সামনে আমাকে মারলে কেন?,negative,মেয়ের মারলে,2
678,আবার কেন মারছো?,negative,মারছো,1
679,তুমি তোমার কাজে যাও।,positive,যাও,1
680,তোমার সাথে কথা বলা দরকার।,positive,দরকার,1
681,"রাতের খাবার খাও, মা।",positive,রাতের খাবার খাও,3
682,আপনি খেয়েছেন?,positive,খেয়েছেন,1
683,আমার কোনো অধিকার নেই বলার কোথায় থাকবে কোথায় বিয়ে করবে।,positive,অধিকার বলার কোথায় কোথায় বিয়ে,5
684,তোমার জীবন তোমার ইচ্ছা।,positive,জীবন ইচ্ছা,2
685,খবর রাখিস না কেন?,negative,খবর রাখিস,2
686,ভয় করছে আমার।,negative,ভয়,1
687, এটা শুনে কষ্ট পাবে।,negative,শুনে কষ্ট পাবে,3
688,জানি আমাকে অনেক ভালবাসো।,positive,জানি ভালবাসো,2
689,এক্সিডেন্টের কারণে প্রচুর রক্তক্ষরণ হয়েছে।,negative,এক্সিডেন্টের কারণে প্রচুর রক্তক্ষরণ হয়েছে,5
690,তিনি মারা গেছেন।,negative,মারা গেছেন,2
691,তারা বলছে মা মারা গেছে।,negative,বলছে মারা,2
692,ভেবেছিলাম তুমি এখানে আমার জন্য অপেক্ষা করছো,positive,ভেবেছিলাম অপেক্ষা করছো,3
693,শ্বাস নিতে না পাওয়ার কারণে মা মারা গেছে।,negative,শ্বাস পাওয়ার কারণে মারা,4
694,শ্বাস নিতে পেরেও মনে হচ্ছে মারা গেছি,negative,শ্বাস পেরেও মারা গেছি,4
695,এখন চলে গেলে সেটা মেনে নিতে কষ্ট হচ্ছে,negative,মেনে কষ্ট,2
696,"তোমার মায়ের প্রেমে পড়ে, কখনো ভাবিনি তোমাকে, তোমার বাবাকে বোঝাতে পারবো",positive,মায়ের প্রেমে পড়ে কখনো ভাবিনি বাবাকে বোঝাতে পারবো,8
697,সমস্যা যতই বড় হোক না কেন তার সহজ সমাধান আছে।,positive,সমস্যা যতই বড় সহজ সমাধান,5
698,কে তোকে ঢুকতে দিয়েছে?,negative,তোকে ঢুকতে দিয়েছে,3
699,এখানে তার বিষয়ে কথা বলতে এসেছি।,positive,বিষয়ে এসেছি,2
700, আমার ছেলে মারা যায়,negative,ছেলে মারা যায়,3
701,মারা যাওয়ার দিন তাকে সবাই অপমান করেছিল,negative,মারা যাওয়ার সবাই অপমান করেছিল,5
702,"ঈশ্বর, এসব বলার জন্য আমায় ক্ষমা করুন।",negative,ঈশ্বর এসব বলার আমায় ক্ষমা করুন,6
703,তোমার জঘন্য ব্যাক্তিত্ব,negative,জঘন্য ব্যাক্তিত্ব,2
704,"আমাদের শোককে যখন অসম্মান করেছিলে, ভেবেছিলাম মৃত মানুষের প্রতি ছিটেফোটা শ্রদ্ধা নেই",negative,শোককে অসম্মান করেছিলে ভেবেছিলাম মৃত মানুষের ছিটেফোটা শ্রদ্ধা,8
705,ভেবেছিলাম ছোট থেকে এই শিক্ষা পেয়েই বড় হয়েছো।,positive,ভেবেছিলাম ছোট শিক্ষা পেয়েই বড় হয়েছো,6
706,আর এসব সহ্য করতে পারছি না,negative,এসব সহ্য পারছি,3
707,হাতজোড় করছি। একটু শান্তিতে থাকতে দাও,negative,হাতজোড় করছি একটু শান্তিতে থাকতে দাও,6
708,দুঃখের বিষয় সে আর বেঁচে নেই,negative,দুঃখের বিষয় বেঁচে,3
709,"নিঃস্ব থাকা অবস্থায়ও, ভিক্ষা বা খারাপ পথে যায় নাই",negative,নিঃস্ব অবস্থায়ও ভিক্ষা খারাপ পথে যায়,6
710,আমার মায়ের মনটাকে বুঝে তাকে বিয়ে করতে চায়,positive,মায়ের মনটাকে বুঝে বিয়ে চায়,5
711,আমাকে কাঁদায়!,negative,কাঁদায়,1
712,আমার শিক্ষার ব্যাপারে আপনি বলার কে?,negative,শিক্ষার বলার,2
713,ছেলের মৃত্যুর পর বাবার দায়িত্ব পালন ,negative,ছেলের মৃত্যুর বাবার দায়িত্ব পালন,5
714,আমি জানি না,positive,জানি,1
715,আপনিই বিচার করে দেখুন।,positive,আপনিই বিচার দেখুন,3
716,মৃত্যু পর্যন্তই আপনি জীবনটাকে জানতে পারেন,negative,মৃত্যু পর্যন্তই জীবনটাকে,3
717,ভয় লাগছে?,negative,ভয় লাগছে,2
718,মায়ের গর্ভে থাকা সন্তান ভাবে পৃথিবীটা কেবল গর্ভের মতোই বড় আর এর ঊর্ধ্বে কিছু নেই,positive,মায়ের গর্ভে সন্তান পৃথিবীটা কেবল গর্ভের বড় ঊর্ধ্বে,8
719,মৃত্যুটা ঠিক এমনই হয়,negative,মৃত্যুটা এমনই,2
720,একটা সুন্দর জীবন রয়েছে,positive,সুন্দর জীবন রয়েছে,3
721,"মৃত্যু আসবে কখন জানি না,যখন আসে পলকেই জীবনটাকে ছিনিয়ে নেয়",negative,মৃত্যু আসবে কখন জানি আসে পলকেই জীবনটাকে ছিনিয়ে নেয়,9
722,"কেউ সুখী হতে চাইলে, পৃথিবীর চেয়ে শ্রেষ্ঠতর স্বর্গ আর কোথাও নেই",positive,সুখী চাইলে পৃথিবীর চেয়ে শ্রেষ্ঠতর স্বর্গ কোথাও,7
723,"যারা বিষণ্ণ হতে চায়, তাদের কাছে পৃথিবীর চেয়ে বড় নরক আর কোথাও নেই।",negative,বিষণ্ণ চায় পৃথিবীর চেয়ে বড় নরক কোথাও,7
724,আমার সাথে সুখে থাকবে,positive,সুখে,1
725,তাহলে সেটা আমাদের জানাতো,positive,জানাতো,1
726,আমাকে পছন্দ করে না,negative,পছন্দ,1
727,আমিই ওর মনের সব শান্তি কেড়ে নিয়েছি,negative,আমিই মনের শান্তি কেড়ে নিয়েছি,5
728,জানি আমাকে অনেক পছন্দ করো। কিন্তু চলো এসবের এখনই ইতি টানি।,positive,জানি পছন্দ চলো এসবের এখনই ইতি টানি,7
729,সেজন্যই ভেবেছিলাম আপনি বুঝবেন,positive,সেজন্যই ভেবেছিলাম বুঝবেন,3
730,আমাকে কাঁদিয়ে ফেলছেন,negative,কাঁদিয়ে ফেলছেন,2
731,"হৃদয়ে বেদনায়, ক্ষুধার্ততায়",negative,হৃদয়ে বেদনায় ক্ষুধার্ততায়,3
732,"সে কখন ফিরে এসেছে? রাতে, বেশ দেরী",positive,কখন এসেছে রাতে দেরী,4
733,ভিতরে বসুন,positive,ভিতরে বসুন,2
734,এখানে আর কে থাকে? শুধুমাত্র আমার ভাই,positive,শুধুমাত্র ভাই,2
735,আপনার বাবা এবং মা সম্পর্কে কি?,positive,বাবা সম্পর্কে,2
736,আপনি কত বছর এখানে বাস করছেন? ,positive,বছর বাস,2
737,"আজ রাতে দেখা হবে অবশ্যই, আজ রাতে",positive,রাতে অবশ্যই রাতে,3
738,খাবারের জন্য ধন্যবাদ!,positive,খাবারের ধন্যবাদ,2
739,অনেক সুস্বাদু।,positive,সুস্বাদু,1
740,আমি নার্ভাস ছিলাম।,negative,নার্ভাস ছিলাম,2
741,তোমাকে ধন্যবাদ।,positive,ধন্যবাদ,1
742,"যখন তুমি হাসো, তখন তোমাকে সবচেয়ে সুন্দর লাগে।",positive,হাসো সবচেয়ে সুন্দর লাগে,4
743,সুস্বাদু!,positive,সুস্বাদু,1
744,তোমরা অনেক বেশি খেয়ে ফেলছো!,positive,তোমরা খেয়ে ফেলছো,3
745,তোমরা অনেক কিউট।,positive,তোমরা কিউট,2
746,"আমি নিশ্চিত, ওখানে আমি অনেক খুশি থাকবো।",positive,নিশ্চিত খুশি থাকবো,3
747,"আমিও আশা করছি, আমার ভাগ্য বদলে যাবে",positive,আমিও আশা করছি ভাগ্য,4
748,অনেক মজা হবে!,positive,মজা,1
749,আমি এগুলো কিনে এনেছি।,positive,এগুলো কিনে এনেছি,3
750,শুভ সকাল!,positive,শুভ সকাল,2
751,এখানে আসবার জন্য সবাইকে ধন্যবাদ,positive,আসবার সবাইকে ধন্যবাদ,3
752,আপনি আমাকে যেকোনো কিছু নিয়ে সাহায্য করতে বলতে পারেন।,positive,যেকোনো সাহায্য,2
753,তোমাদেরকে অনেক ধন্যবাদ।,positive,তোমাদেরকে ধন্যবাদ,2
754,বাড়িটা দেখতে অনেক সুন্দর।,positive,বাড়িটা সুন্দর,2
755,এখন থেকে আমাকে আপনার ছেলে হিসেবে বিবেচনা করবেন,positive,ছেলে হিসেবে বিবেচনা,3
756,এবার সবাই ভিতরে গিয়ে চল কিছু খেয়ে নেই একসাথে।,positive,সবাই ভিতরে চল খেয়ে একসাথে,5
757,সেটা কীভাবে হতে পারে? এখন তো ঝকঝকে দিনের বেলা।,positive,কীভাবে ঝকঝকে দিনের বেলা,4
758,একটি বাড়ি ধ্বংস করে ফেলেছে,negative,বাড়ি ধ্বংস ফেলেছে,3
759,বাড়িটা ভেঙ্গে পড়ে গেল,negative,বাড়িটা ভেঙ্গে পড়ে,3
760,সবাই বাড়ির বাইরে ছিল।,positive,সবাই বাড়ির বাইরে,3
761,ভাগ্য ভাল,positive,ভাগ্য ভাল,2
762,আমরা দুঃখিত,negative,দুঃখিত,1
763,পরবর্তী বার অবশ্যই আমাদের এখানে আসবেন,positive,পরবর্তী অবশ্যই আসবেন,3
764,আমি এই ক'দিন অনেক কষ্ট করেছি।,negative,ক কষ্ট করেছি,3
765,আমরা আবার নতুন বাড়ি করে নিতে পারবো।,positive,বাড়ি পারবো,2
766,আমি আমার সব টাকা বাড়িটার পেছনে ঢেলে দিয়েছিলাম,positive,টাকা বাড়িটার পেছনে ঢেলে দিয়েছিলাম,5
767,আমার ভাগ্য কত খারাপ।,negative,ভাগ্য খারাপ,2
768,তোমার ভাগ্য অনেক ভালো,positive,ভাগ্য ভালো,2
769,তাহলে আমরা সবাই মারা পড়তাম।,negative,সবাই মারা পড়তাম,3
770,এর চেয়ে বড় সৌভাগ্য আর কী হতে পারে,positive,চেয়ে বড় সৌভাগ্য,3
771,আমরা আসলেই অনেক সৌভাগ্যবান ছিলাম।,positive,আসলেই সৌভাগ্যবান ছিলাম,3
772,তুমি একদম তোমার মায়ের মত।,positive,একদম মায়ের মত,3
773,তোমার মাও তোমার মতই সহজ-সরল ছিল।,positive,মাও মতই সহজ সরল,4
774,দুর্ভাগ্য চলছে ওর,negative,দুর্ভাগ্য চলছে,2
